Date,GameNum,PlayerID,GroupID,DesignType,TotalTests,Day,Location,Music,Price,TimeOfDay,Weather,Temperature,Sales,GrossIncome,Costs,Profit,CurrentMoney
2026-09-02 18:43:31,1964,DrF,MATH2025FA26,Random Sample,0,1,Business,none,$3,Lunch,Constant,59,82,246,341,-95,19905
2026-09-02 18:43:31,1964,DrF,MATH2025FA26,Random Sample,0,3,Park,none,$3,Lunch,Constant,57,76,228,338,-110,19647.5
2026-09-02 18:43:31,1964,DrF,MATH2025FA26,Random Sample,0,4,Business,none,$3,Lunch,Constant,64,105,315,352.5,-37.5,19610
2026-09-02 18:43:31,1964,DrF,MATH2025FA26,Random Sample,0,6,Business,none,$3,Lunch,Constant,58,84,252,342,-90,19425
2026-09-02 18:43:31,1964,DrF,MATH2025FA26,Random Sample,0,7,Park,none,$3,Lunch,Constant,57,84,252,342,-90,19335
2026-09-02 18:43:32,1964,DrF,MATH2025FA26,Random Sample,0,10,Park,none,$3,Lunch,Constant,61,82,246,341,-95,19010
2026-09-02 18:43:32,1964,DrF,MATH2025FA26,Random Sample,0,11,CityHall,none,$3,Lunch,Constant,54,96,288,348,-60,18950
2026-09-02 18:43:32,1964,DrF,MATH2025FA26,Random Sample,0,13,Business,none,$3,Lunch,Constant,58,89,267,344.5,-77.5,18762.5
2026-09-02 18:43:32,1964,DrF,MATH2025FA26,Random Sample,0,14,CityHall,none,$3,Lunch,Constant,53,97,291,348.5,-57.5,18705
2026-09-02 18:43:32,1964,DrF,MATH2025FA26,Random Sample,0,15,Park,none,$3,Lunch,Constant,59,60,180,330,-150,18555
2026-09-02 18:43:32,1964,DrF,MATH2025FA26,Random Sample,0,18,Business,none,$3,Lunch,Constant,56,84,252,342,-90,18240
2026-09-02 18:43:32,1964,DrF,MATH2025FA26,Random Sample,0,19,CityHall,none,$3,Lunch,Constant,70,94,282,347,-65,18175
2026-09-02 18:43:32,1964,DrF,MATH2025FA26,Random Sample,0,20,Business,none,$3,Lunch,Constant,59,94,282,347,-65,18110
2026-09-02 18:43:32,1964,DrF,MATH2025FA26,Random Sample,0,21,Park,none,$3,Lunch,Constant,54,70,210,335,-125,17985
2026-09-02 18:43:33,1964,DrF,MATH2025FA26,Random Sample,0,22,CityHall,none,$3,Lunch,Constant,64,109,327,354.5,-27.5,17957.5
2026-09-02 18:43:33,1964,DrF,MATH2025FA26,Random Sample,0,23,Park,none,$3,Lunch,Constant,59,76,228,338,-110,17847.5
2026-09-02 18:43:33,1964,DrF,MATH2025FA26,Random Sample,0,24,Business,none,$3,Lunch,Constant,55,90,270,345,-75,17772.5
2026-09-02 18:43:33,1964,DrF,MATH2025FA26,Random Sample,0,25,CityHall,none,$3,Lunch,Constant,59,88,264,344,-80,17692.5
2026-09-02 18:43:33,1964,DrF,MATH2025FA26,Random Sample,0,27,Park,none,$3,Lunch,Constant,58,54,162,327,-165,17427.5
2026-09-02 18:43:33,1964,DrF,MATH2025FA26,Random Sample,0,29,Park,none,$3,Lunch,Constant,61,89,267,344.5,-77.5,17192.5
2026-09-02 18:43:33,1964,DrF,MATH2025FA26,Random Sample,0,31,CityHall,none,$3,Lunch,Constant,61,110,330,355,-25,16997.5
2026-09-02 18:43:33,1964,DrF,MATH2025FA26,Random Sample,0,32,Park,none,$3,Lunch,Constant,64,59,177,329.5,-152.5,16845
2026-09-02 18:43:33,1964,DrF,MATH2025FA26,Random Sample,0,34,Business,none,$3,Lunch,Constant,61,64,192,332,-140,16582.5
2026-09-02 18:43:33,1964,DrF,MATH2025FA26,Random Sample,0,35,Park,none,$3,Lunch,Constant,65,72,216,336,-120,16462.5
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,36,Business,none,$3,Lunch,Constant,59,83,249,341.5,-92.5,16370
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,37,CityHall,none,$3,Lunch,Constant,63,89,267,344.5,-77.5,16292.5
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,38,Park,none,$3,Lunch,Constant,60,76,228,338,-110,16182.5
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,39,Park,none,$3,Lunch,Constant,67,82,246,341,-95,16087.5
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,40,CityHall,none,$3,Lunch,Constant,55,92,276,346,-70,16017.5
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,41,Park,none,$3,Lunch,Constant,74,66,198,333,-135,15882.5
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,42,CityHall,none,$3,Lunch,Constant,71,89,267,344.5,-77.5,15805
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,43,Business,none,$3,Lunch,Constant,59,78,234,339,-105,15700
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,44,Business,none,$3,Lunch,Constant,68,71,213,335.5,-122.5,15577.5
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,45,Business,none,$3,Lunch,Constant,60,75,225,337.5,-112.5,15465
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,47,CityHall,none,$3,Lunch,Constant,69,93,279,346.5,-67.5,15227.5
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,48,CityHall,none,$3,Lunch,Constant,60,102,306,351,-45,15182.5
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,49,Park,none,$3,Lunch,Constant,66,73,219,336.5,-117.5,15065
2026-09-02 18:43:34,1964,DrF,MATH2025FA26,Random Sample,0,50,CityHall,none,$3,Lunch,Constant,64,89,267,344.5,-77.5,14987.5
2026-09-02 18:43:35,1964,DrF,MATH2025FA26,Random Sample,0,51,Business,none,$3,Lunch,Constant,59,102,306,351,-45,14942.5
2026-09-02 18:43:35,1964,DrF,MATH2025FA26,Random Sample,0,53,CityHall,none,$3,Lunch,Constant,49,73,219,336.5,-117.5,14692.5
2026-09-02 18:43:35,1964,DrF,MATH2025FA26,Random Sample,0,54,CityHall,none,$3,Lunch,Constant,54,96,288,348,-60,14632.5
2026-09-02 18:43:35,1964,DrF,MATH2025FA26,Random Sample,0,55,Business,none,$3,Lunch,Constant,61,98,294,349,-55,14577.5
2026-09-02 18:43:35,1964,DrF,MATH2025FA26,Random Sample,0,57,Business,none,$3,Lunch,Constant,60,77,231,338.5,-107.5,14355
2026-09-02 18:43:35,1964,DrF,MATH2025FA26,Random Sample,0,59,CityHall,none,$3,Lunch,Constant,53,83,249,341.5,-92.5,14130
2026-09-02 18:43:35,1964,DrF,MATH2025FA26,Random Sample,0,60,Park,none,$3,Lunch,Constant,66,75,225,337.5,-112.5,14017.5
