long,lat,group,order,region,subregion
-86.50516510009766,32.34919738769531,1,1,alabama,autauga
-86.53382110595703,32.35492706298828,1,2,alabama,autauga
-86.54527282714844,32.36638641357422,1,3,alabama,autauga
-86.556732177734375,32.377845764160156,1,4,alabama,autauga
-86.57965850830078,32.38357162475586,1,5,alabama,autauga
-86.59111022949219,32.377845764160156,1,6,alabama,autauga
-86.61402893066406,32.389305114746094,1,7,alabama,autauga
-86.61975860595703,32.406490325927734,1,8,alabama,autauga
-86.62548828125,32.41795349121094,1,9,alabama,autauga
-86.63694763183594,32.41795349121094,1,10,alabama,autauga
-86.65413665771484,32.41222381591797,1,11,alabama,autauga
-86.65986633300781,32.389305114746094,1,12,alabama,autauga
-86.67132568359375,32.36638641357422,1,13,alabama,autauga
-86.68278503417969,32.36638641357422,1,14,alabama,autauga
-86.71143341064453,32.377845764160156,1,15,alabama,autauga
-86.7171630859375,32.40076446533203,1,16,alabama,autauga
-86.740081787109375,32.406490325927734,1,17,alabama,autauga
-86.75153350830078,32.40076446533203,1,18,alabama,autauga
-86.76873016357422,32.406490325927734,1,19,alabama,autauga
-86.78018951416016,32.40076446533203,1,20,alabama,autauga
-86.77445983886719,32.38357162475586,1,21,alabama,autauga
-86.76873016357422,32.36638641357422,1,22,alabama,autauga
-86.78018951416016,32.343467712402344,1,23,alabama,autauga
-86.78018951416016,32.32627868652344,1,24,alabama,autauga
-86.79737091064453,32.32054901123047,1,25,alabama,autauga
-86.80310821533203,32.32627868652344,1,26,alabama,autauga
-86.81456756591797,32.337738037109375,1,27,alabama,autauga
-86.81456756591797,32.34919738769531,1,28,alabama,autauga
-86.81456756591797,32.36638641357422,1,29,alabama,autauga
-86.8260269165039,32.389305114746094,1,30,alabama,autauga
-86.83174896240234,32.40076446533203,1,31,alabama,autauga
-86.83174896240234,32.423683166503906,1,32,alabama,autauga
-86.83747863769531,32.435142517089844,1,33,alabama,autauga
-86.85467529296875,32.44087219238281,1,34,alabama,autauga
-86.86040496826172,32.45806121826172,1,35,alabama,autauga
-86.8775863647461,32.492435455322266,1,36,alabama,autauga
-86.89478302001953,32.52108383178711,1,37,alabama,autauga
-86.9005126953125,32.54973220825195,1,38,alabama,autauga
-86.90624237060547,32.58983612060547,1,39,alabama,autauga
-86.9119644165039,32.61848831176758,1,40,alabama,autauga
-86.9119644165039,32.63567352294922,1,41,alabama,autauga
-86.9119644165039,32.66432571411133,1,42,alabama,autauga
-86.6999740600586,32.66432571411133,1,43,alabama,autauga
-86.6999740600586,32.71016311645508,1,44,alabama,autauga
-86.419219970703125,32.704429626464844,1,45,alabama,autauga
-86.419219970703125,32.41795349121094,1,46,alabama,autauga
-86.43640899658203,32.41222381591797,1,47,alabama,autauga
-86.45360565185547,32.406490325927734,1,48,alabama,autauga
-86.465057373046875,32.389305114746094,1,49,alabama,autauga
-86.48224639892578,32.377845764160156,1,50,alabama,autauga
-86.50516510009766,32.34919738769531,1,51,alabama,autauga
-87.93756866455078,31.145986557006836,2,53,alabama,baldwin
-87.93183135986328,31.151714324951172,2,54,alabama,baldwin
-87.92037200927734,31.151714324951172,2,55,alabama,baldwin
-87.90318298339844,31.163175582885742,2,56,alabama,baldwin
-87.89173126220703,31.163175582885742,2,57,alabama,baldwin
-87.88026428222656,31.151714324951172,2,58,alabama,baldwin
-87.8745346069336,31.163175582885742,2,59,alabama,baldwin
-87.8745346069336,31.180362701416016,2,60,alabama,baldwin
-87.86307525634766,31.180362701416016,2,61,alabama,baldwin
-87.85735321044922,31.186094284057617,2,62,alabama,baldwin
-87.86307525634766,31.19182014465332,2,63,alabama,baldwin
-87.8745346069336,31.197551727294922,2,64,alabama,baldwin
-87.868804931640625,31.209012985229492,2,65,alabama,baldwin
-87.84015655517578,31.209012985229492,2,66,alabama,baldwin
-87.83442687988281,31.220470428466797,2,67,alabama,baldwin
-87.85162353515625,31.243389129638672,2,68,alabama,baldwin
-87.83442687988281,31.243389129638672,2,69,alabama,baldwin
-87.82869720458984,31.24911880493164,2,70,alabama,baldwin
-87.82869720458984,31.260576248168945,2,71,alabama,baldwin
-87.8172378540039,31.27776527404785,2,72,alabama,baldwin
-87.80005645751953,31.27776527404785,2,73,alabama,baldwin
-87.78858947753906,31.27776527404785,2,74,alabama,baldwin
-87.7828598022461,31.28349494934082,2,75,alabama,baldwin
-87.80005645751953,31.306413650512695,2,76,alabama,baldwin
-87.80005645751953,31.312145233154297,2,77,alabama,baldwin
-87.79431915283203,31.312145233154297,2,78,alabama,baldwin
-87.77140808105469,31.306413650512695,2,79,alabama,baldwin
-87.76567840576172,31.300683975219727,2,80,alabama,baldwin
-87.71984100341797,31.306413650512695,2,81,alabama,baldwin
-87.70264434814453,31.306413650512695,2,82,alabama,baldwin
-87.68546295166016,31.289226531982422,2,83,alabama,baldwin
-87.65108489990234,31.266307830810547,2,84,alabama,baldwin
-87.61096954345703,31.24911880493164,2,85,alabama,baldwin
-87.6052474975586,31.008474349975586,2,86,alabama,baldwin
-87.6052474975586,30.956911087036133,2,87,alabama,baldwin
-87.61096954345703,30.933992385864258,2,88,alabama,baldwin
-87.63389587402344,30.899616241455078,2,89,alabama,baldwin
-87.6396255493164,30.876697540283203,2,90,alabama,baldwin
-87.63389587402344,30.859508514404297,2,91,alabama,baldwin
-87.61096954345703,30.842317581176758,2,92,alabama,baldwin
-87.5479507446289,30.773563385009766,2,93,alabama,baldwin
-87.49065399169922,30.721996307373047,2,94,alabama,baldwin
-87.462005615234375,30.710538864135742,2,95,alabama,baldwin
-87.45054626464844,30.699077606201172,2,96,alabama,baldwin
-87.4218978881836,30.676158905029297,2,97,alabama,baldwin
-87.41043853759766,30.647512435913086,2,98,alabama,baldwin
-87.41043853759766,30.618864059448242,2,99,alabama,baldwin
-87.43335723876953,30.584487915039062,2,100,alabama,baldwin
-87.462005615234375,30.54438018798828,2,101,alabama,baldwin
-87.46773529052734,30.527193069458008,2,102,alabama,baldwin
-87.462005615234375,30.5100040435791,2,103,alabama,baldwin
-87.44482421875,30.492813110351562,2,104,alabama,baldwin
-87.39898681640625,30.458436965942383,2,105,alabama,baldwin
-87.39325714111328,30.446979522705078,2,106,alabama,baldwin
-87.40471649169922,30.429786682128906,2,107,alabama,baldwin
-87.4218978881836,30.429786682128906,2,108,alabama,baldwin
-87.43909454345703,30.424060821533203,2,109,alabama,baldwin
-87.43909454345703,30.4183292388916,2,110,alabama,baldwin
-87.45054626464844,30.401142120361328,2,111,alabama,baldwin
-87.462005615234375,30.389680862426758,2,112,alabama,baldwin
-87.48493194580078,30.37249183654785,2,113,alabama,baldwin
-87.52503204345703,30.37249183654785,2,114,alabama,baldwin
-87.53076171875,30.332386016845703,2,115,alabama,baldwin
-87.57086944580078,30.3266544342041,2,116,alabama,baldwin
-87.58805847167969,30.3266544342041,2,117,alabama,baldwin
-87.59378814697266,30.309467315673828,2,118,alabama,baldwin
-87.59378814697266,30.286548614501953,2,119,alabama,baldwin
-87.67400360107422,30.275089263916016,2,120,alabama,baldwin
-87.81151580810547,30.257902145385742,2,121,alabama,baldwin
-87.88026428222656,30.246440887451172,2,122,alabama,baldwin
-87.92037200927734,30.246440887451172,2,123,alabama,baldwin
-87.95475006103516,30.246440887451172,2,124,alabama,baldwin
-88.006317138671875,30.240713119506836,2,125,alabama,baldwin
-88.01777648925781,30.25217056274414,2,126,alabama,baldwin
-88.01204681396484,30.269359588623047,2,127,alabama,baldwin
-87.99485778808594,30.275089263916016,2,128,alabama,baldwin
-87.95475006103516,30.275089263916016,2,129,alabama,baldwin
-87.90318298339844,30.280820846557617,2,130,alabama,baldwin
-87.82869720458984,30.286548614501953,2,131,alabama,baldwin
-87.80005645751953,30.286548614501953,2,132,alabama,baldwin
-87.80005645751953,30.3266544342041,2,133,alabama,baldwin
-87.8172378540039,30.34384536743164,2,134,alabama,baldwin
-87.84015655517578,30.383953094482422,2,135,alabama,baldwin
-87.85162353515625,30.401142120361328,2,136,alabama,baldwin
-87.8745346069336,30.412599563598633,2,137,alabama,baldwin
-87.90318298339844,30.424060821533203,2,138,alabama,baldwin
-87.92610168457031,30.446979522705078,2,139,alabama,baldwin
-87.93183135986328,30.492813110351562,2,140,alabama,baldwin
-87.94329071044922,30.527193069458008,2,141,alabama,baldwin
-87.92037200927734,30.561569213867188,2,142,alabama,baldwin
-87.914642333984375,30.584487915039062,2,143,alabama,baldwin
-87.92610168457031,30.618864059448242,2,144,alabama,baldwin
-87.92037200927734,30.67043113708496,2,145,alabama,baldwin
-87.94902038574219,30.699077606201172,2,146,alabama,baldwin
-87.98912811279297,30.790752410888672,2,147,alabama,baldwin
-88.006317138671875,30.79648208618164,2,148,alabama,baldwin
-87.97193908691406,30.807941436767578,2,149,alabama,baldwin
-87.94329071044922,30.819398880004883,2,150,alabama,baldwin
-87.94329071044922,30.830860137939453,2,151,alabama,baldwin
-87.9662094116211,30.848047256469727,2,152,alabama,baldwin
-87.97766876220703,30.865236282348633,2,153,alabama,baldwin
-87.9833984375,30.882423400878906,2,154,alabama,baldwin
-87.97193908691406,30.893884658813477,2,155,alabama,baldwin
-87.95475006103516,30.911073684692383,2,156,alabama,baldwin
-87.94902038574219,30.922531127929688,2,157,alabama,baldwin
-87.93183135986328,30.922531127929688,2,158,alabama,baldwin
-87.914642333984375,30.939722061157227,2,159,alabama,baldwin
-87.95475006103516,30.979829788208008,2,160,alabama,baldwin
-87.94902038574219,31.008474349975586,2,161,alabama,baldwin
-87.94902038574219,31.037124633789062,2,162,alabama,baldwin
-87.94329071044922,31.060043334960938,2,163,alabama,baldwin
-87.94329071044922,31.071500778198242,2,164,alabama,baldwin
-87.95475006103516,31.082962036132812,2,165,alabama,baldwin
-87.95475006103516,31.088687896728516,2,166,alabama,baldwin
-87.95475006103516,31.117338180541992,2,167,alabama,baldwin
-87.93756866455078,31.145986557006836,2,168,alabama,baldwin
-85.428009033203125,31.615812301635742,3,170,alabama,barbour
-85.743133544921875,31.615812301635742,3,171,alabama,barbour
-85.7374038696289,31.650188446044922,3,172,alabama,barbour
-85.72594451904297,31.661649703979492,3,173,alabama,barbour
-85.71449279785156,31.696025848388672,3,174,alabama,barbour
-85.7030258178711,31.73040199279785,3,175,alabama,barbour
-85.697296142578125,31.747591018676758,3,176,alabama,barbour
-85.66865539550781,31.759050369262695,3,177,alabama,barbour
-85.66291809082031,31.787696838378906,3,178,alabama,barbour
